Pair_a,ms_ssim1,ms_ssim2,psnr_hvs[0],psnr_hvs[1],vif,iw_ssim,fsim,nlpd,lpips_yuv,lpips_y,dists_yuv,dists_y,vamf
ref_4_Img16,0.992134307,0.992134511,46.84140315,37.45091039,0.790334344,0.992862105,0.995201409,0.088770293,0.112712413,0.12972869,0.02460438,0.034961641,95.153528
ref_4_Img2,0.997409503,0.997409165,45.53111994,40.51629013,0.94384563,0.99751091,0.99829489,0.055625811,0.090725303,0.09390875,0.007706106,0.006751776,96.328216
ref_4_Img3,0.995946563,0.995945275,47.13597259,38.40075946,0.909430563,0.994946361,0.995702088,0.06896437,0.099511467,0.101527169,0.008965015,0.010444522,95.488256
ref_4_Img4,0.992135973,0.992066383,38.55005116,32.11625794,0.794917762,0.088708945,0.991603136,0.993419886,0.173145786,0.18486996,0.020074308,0.019732237,93.902132
ref_4_Img5,0.849871142,0.847235382,18.95752353,17.60177082,0.549993515,0.714794338,0.790128887,0.421597034,0.566392362,0.574614763,0.293032765,0.312535286,0
ref_4_Img6,0.95044022,0.950008035,23.75671544,21.55763056,0.684918106,0.916146457,0.917030573,0.249188319,0.375599504,0.39790833,0.173218727,0.185856581,28.179365
ref_4_Img7,0.989277019,0.989209831,32.36589476,28.27029933,0.878966808,0.985166311,0.984403431,0.11927709,0.176043749,0.193577975,0.067064404,0.071215272,67.796637
ref_4_Img8,1,1,100000,100000,0.999999225,1,1,0,0,0,0,-1.19E-07,97.428347
ref_4_Img9,0.998055415,0.998038352,53.83823947,43.75981161,0.952545345,0.99839586,0.998857677,0.04402259,0.07468161,0.078769289,0.009677052,0.007102251,96.585034
ref_5_Img1,1,1,100000,100000,0.999999523,1.000000119,1,0,0,0,-1.19E-07,0,97.428429
ref_5_Img10,1,1,100000,100000,0.999999523,1.000000119,1,0,0,0,-1.19E-07,0,97.428429
ref_5_Img11,0.930184882,0.925130844,28.90291742,23.052736,0.298641175,0.924490035,0.93803066,0.307044029,0.497757167,0.488565475,0.156700492,0.133327663,65.486829
ref_5_Img12,1,1,100000,100000,0.999999523,1.000000119,1,0,0,0,-1.19E-07,0,97.428429
ref_5_Img13,0.996517059,0.996905267,54.16461147,42.01260588,0.928584516,0.997297704,0.998551965,0.070305109,0.077456661,0.0609795,0.01096034,0.004200459,95.285788
