ms_ssim2_a,psnr_hvs_a,vif_a,iw_ssim_a,fsim_a,nlpd_a,vamf_a,ms_ssim2_b,psnr_hvs_b,vif_b,iw_ssim_b,fsim_b,nlpd_b,vamf_b
1.0,100000.0,0.999998808,0.99999994,1.0,0.0,97.428126,0.990739644,41.74257251,0.730524421,0.989735603,0.990993023,0.102242172,91.953244
1.0,100000.0,0.999998808,0.99999994,1.0,0.0,97.428126,0.971852839,32.24922649,0.461885422,0.963315189,0.963898718,0.178565681,81.307695
1.0,100000.0,0.999998808,0.99999994,1.0,0.0,97.428126,0.949638963,28.40209121,0.374285161,0.937309921,0.941630304,0.235067919,71.711566
1.0,100000.0,0.999998808,0.99999994,1.0,0.0,97.428126,0.907879174,23.82939201,0.265576988,0.880781233,0.898695767,0.321531624,51.374069
1.0,100000.0,0.999998808,0.99999994,1.0,0.0,97.428126,0.956077814,31.98213735,0.462179035,0.952312171,0.972614169,0.223043039,84.254205
1.0,100000.0,0.999998808,0.99999994,1.0,0.0,97.428126,0.868824244,23.26503293,0.223654747,0.857179999,0.903808355,0.381910652,59.265718
1.0,100000.0,0.999998808,0.99999994,1.0,0.0,97.428126,0.811174333,20.60575173,0.167107508,0.801220953,0.859145403,0.464078307,48.334932
1.0,100000.0,0.999998808,0.99999994,1.0,0.0,97.428126,0.986690104,41.00894192,0.632004797,0.129569724,0.984815061,0.98722893,90.167581
1.0,100000.0,0.999998808,0.99999994,1.0,0.0,97.428126,0.974740624,35.86980091,0.488979757,0.97037673,0.973990738,0.174673483,83.901399
1.0,100000.0,0.999998808,0.99999994,1.0,0.0,97.428126,0.963148594,32.69079697,0.409073472,0.955952227,0.961543679,0.208413661,78.070835
1.0,100000.0,0.999998808,0.99999994,1.0,0.0,97.428126,0.932710648,27.8908097,0.308979273,0.921142519,0.931877613,0.277279496,65.179555
1.0,100000.0,0.999998808,0.99999994,1.0,0.0,97.428126,0.923614204,26.7286181,0.28486681,0.911155343,0.917809069,0.295870841,62.505653
1.0,100000.0,0.999998808,0.99999994,1.0,0.0,97.428126,0.89515698,22.19499791,0.302847296,0.858807385,0.889175653,0.331307977,46.421689
1.0,100000.0,0.999998808,0.99999994,1.0,0.0,97.428126,0.945186496,26.91149244,0.368944287,0.928076863,0.946167231,0.26353994,64.220882
1.0,100000.0,0.999998808,0.99999994,1.0,0.0,97.428126,0.982982934,33.67126131,0.605912387,0.975367606,0.980455875,0.154247269,83.533238
0.990739644,41.74257251,0.730524421,0.989735603,0.990993023,0.102242172,91.953244,0.971852839,32.24922649,0.461885422,0.963315189,0.963898718,0.178565681,81.307695
0.990739644,41.74257251,0.730524421,0.989735603,0.990993023,0.102242172,91.953244,0.949638963,28.40209121,0.374285161,0.937309921,0.941630304,0.235067919,71.711566
0.990739644,41.74257251,0.730524421,0.989735603,0.990993023,0.102242172,91.953244,0.907879174,23.82939201,0.265576988,0.880781233,0.898695767,0.321531624,51.374069
0.990739644,41.74257251,0.730524421,0.989735603,0.990993023,0.102242172,91.953244,0.956077814,31.98213735,0.462179035,0.952312171,0.972614169,0.223043039,84.254205
0.990739644,41.74257251,0.730524421,0.989735603,0.990993023,0.102242172,91.953244,0.868824244,23.26503293,0.223654747,0.857179999,0.903808355,0.381910652,59.265718
0.990739644,41.74257251,0.730524421,0.989735603,0.990993023,0.102242172,91.953244,0.811174333,20.60575173,0.167107508,0.801220953,0.859145403,0.464078307,48.334932
0.990739644,41.74257251,0.730524421,0.989735603,0.990993023,0.102242172,91.953244,0.986690104,41.00894192,0.632004797,0.129569724,0.984815061,0.98722893,90.167581
0.990739644,41.74257251,0.730524421,0.989735603,0.990993023,0.102242172,91.953244,0.974740624,35.86980091,0.488979757,0.97037673,0.973990738,0.174673483,83.901399
0.990739644,41.74257251,0.730524421,0.989735603,0.990993023,0.102242172,91.953244,0.963148594,32.69079697,0.409073472,0.955952227,0.961543679,0.208413661,78.070835
0.990739644,41.74257251,0.730524421,0.989735603,0.990993023,0.102242172,91.953244,0.932710648,27.8908097,0.308979273,0.921142519,0.931877613,0.277279496,65.179555
0.990739644,41.74257251,0.730524421,0.989735603,0.990993023,0.102242172,91.953244,0.923614204,26.7286181,0.28486681,0.911155343,0.917809069,0.295870841,62.505653
0.990739644,41.74257251,0.730524421,0.989735603,0.990993023,0.102242172,91.953244,0.89515698,22.19499791,0.302847296,0.858807385,0.889175653,0.331307977,46.421689
0.990739644,41.74257251,0.730524421,0.989735603,0.990993023,0.102242172,91.953244,0.945186496,26.91149244,0.368944287,0.928076863,0.946167231,0.26353994,64.220882
0.990739644,41.74257251,0.730524421,0.989735603,0.990993023,0.102242172,91.953244,0.982982934,33.67126131,0.605912387,0.975367606,0.980455875,0.154247269,83.533238
0.971852839,32.24922649,0.461885422,0.963315189,0.963898718,0.178565681,81.307695,0.949638963,28.40209121,0.374285161,0.937309921,0.941630304,0.235067919,71.711566
0.971852839,32.24922649,0.461885422,0.963315189,0.963898718,0.178565681,81.307695,0.907879174,23.82939201,0.265576988,0.880781233,0.898695767,0.321531624,51.374069
0.971852839,32.24922649,0.461885422,0.963315189,0.963898718,0.178565681,81.307695,0.956077814,31.98213735,0.462179035,0.952312171,0.972614169,0.223043039,84.254205
