ms_ssim2_a,psnr_hvs_a,vif_a,iw_ssim_a,fsim_a,nlpd_a,vamf_a,ms_ssim2_b,psnr_hvs_b,vif_b,iw_ssim_b,fsim_b,nlpd_b,vamf_b
1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006,0.990745366,42.22403606,0.813137174,0.990667343,0.994589508,0.097553737,91.248517
1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006,0.950920522,29.20261944,0.485000342,0.931354165,0.957603872,0.205157876,61.213802
1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006,0.986121774,39.65537154,0.822128594,0.975507319,0.987828314,0.116699219,86.453482
1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006,0.992067695,38.12204607,0.994627237,0.991739273,0.992715895,0.090424962,79.583952
1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006,0.956798911,27.78136439,0.84987998,0.210061491,0.943332553,0.952044964,47.101418
1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006,0.978103697,32.01932094,0.923745394,0.974874079,0.978079975,0.148583457,65.223074
1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006,0.907540679,28.39897229,0.299238741,0.860718787,0.914498329,0.270534486,64.306702
1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006,1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006
1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006,0.822313011,22.74958416,0.217637599,0.701022446,0.814956367,0.387773752,24.573013
1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006,0.977805018,43.65328707,0.568053722,0.974162102,0.984294891,0.148435637,88.496678
1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006,1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006
1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006,0.965537608,39.66562581,0.461375833,0.958382905,0.97357589,0.177750811,83.467011
1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006,0.828087687,28.77987519,0.17119053,0.82249707,0.877513945,0.402596831,73.966064
1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006,0.953419685,39.0766859,0.435210943,0.952560425,0.968578994,0.20611541,89.733499
1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006,0.986668766,46.49114144,0.701799214,0.986757159,0.991235197,0.111683093,94.408565
0.990745366,42.22403606,0.813137174,0.990667343,0.994589508,0.097553737,91.248517,0.950920522,29.20261944,0.485000342,0.931354165,0.957603872,0.205157876,61.213802
0.990745366,42.22403606,0.813137174,0.990667343,0.994589508,0.097553737,91.248517,0.986121774,39.65537154,0.822128594,0.975507319,0.987828314,0.116699219,86.453482
0.990745366,42.22403606,0.813137174,0.990667343,0.994589508,0.097553737,91.248517,0.992067695,38.12204607,0.994627237,0.991739273,0.992715895,0.090424962,79.583952
0.990745366,42.22403606,0.813137174,0.990667343,0.994589508,0.097553737,91.248517,0.956798911,27.78136439,0.84987998,0.210061491,0.943332553,0.952044964,47.101418
0.990745366,42.22403606,0.813137174,0.990667343,0.994589508,0.097553737,91.248517,0.978103697,32.01932094,0.923745394,0.974874079,0.978079975,0.148583457,65.223074
0.990745366,42.22403606,0.813137174,0.990667343,0.994589508,0.097553737,91.248517,0.907540679,28.39897229,0.299238741,0.860718787,0.914498329,0.270534486,64.306702
0.990745366,42.22403606,0.813137174,0.990667343,0.994589508,0.097553737,91.248517,1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006
0.990745366,42.22403606,0.813137174,0.990667343,0.994589508,0.097553737,91.248517,0.822313011,22.74958416,0.217637599,0.701022446,0.814956367,0.387773752,24.573013
0.990745366,42.22403606,0.813137174,0.990667343,0.994589508,0.097553737,91.248517,0.977805018,43.65328707,0.568053722,0.974162102,0.984294891,0.148435637,88.496678
0.990745366,42.22403606,0.813137174,0.990667343,0.994589508,0.097553737,91.248517,1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006
0.990745366,42.22403606,0.813137174,0.990667343,0.994589508,0.097553737,91.248517,0.965537608,39.66562581,0.461375833,0.958382905,0.97357589,0.177750811,83.467011
0.990745366,42.22403606,0.813137174,0.990667343,0.994589508,0.097553737,91.248517,0.828087687,28.77987519,0.17119053,0.82249707,0.877513945,0.402596831,73.966064
0.990745366,42.22403606,0.813137174,0.990667343,0.994589508,0.097553737,91.248517,0.953419685,39.0766859,0.435210943,0.952560425,0.968578994,0.20611541,89.733499
0.990745366,42.22403606,0.813137174,0.990667343,0.994589508,0.097553737,91.248517,0.986668766,46.49114144,0.701799214,0.986757159,0.991235197,0.111683093,94.408565
0.950920522,29.20261944,0.485000342,0.931354165,0.957603872,0.205157876,61.213802,0.986121774,39.65537154,0.822128594,0.975507319,0.987828314,0.116699219,86.453482
0.950920522,29.20261944,0.485000342,0.931354165,0.957603872,0.205157876,61.213802,0.992067695,38.12204607,0.994627237,0.991739273,0.992715895,0.090424962,79.583952
0.950920522,29.20261944,0.485000342,0.931354165,0.957603872,0.205157876,61.213802,0.956798911,27.78136439,0.84987998,0.210061491,0.943332553,0.952044964,47.101418
0.950920522,29.20261944,0.485000342,0.931354165,0.957603872,0.205157876,61.213802,0.978103697,32.01932094,0.923745394,0.974874079,0.978079975,0.148583457,65.223074
0.950920522,29.20261944,0.485000342,0.931354165,0.957603872,0.205157876,61.213802,0.907540679,28.39897229,0.299238741,0.860718787,0.914498329,0.270534486,64.306702
0.950920522,29.20261944,0.485000342,0.931354165,0.957603872,0.205157876,61.213802,1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006
0.950920522,29.20261944,0.485000342,0.931354165,0.957603872,0.205157876,61.213802,0.822313011,22.74958416,0.217637599,0.701022446,0.814956367,0.387773752,24.573013
0.950920522,29.20261944,0.485000342,0.931354165,0.957603872,0.205157876,61.213802,0.977805018,43.65328707,0.568053722,0.974162102,0.984294891,0.148435637,88.496678
0.950920522,29.20261944,0.485000342,0.931354165,0.957603872,0.205157876,61.213802,1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006
0.950920522,29.20261944,0.485000342,0.931354165,0.957603872,0.205157876,61.213802,0.965537608,39.66562581,0.461375833,0.958382905,0.97357589,0.177750811,83.467011
0.950920522,29.20261944,0.485000342,0.931354165,0.957603872,0.205157876,61.213802,0.828087687,28.77987519,0.17119053,0.82249707,0.877513945,0.402596831,73.966064
0.950920522,29.20261944,0.485000342,0.931354165,0.957603872,0.205157876,61.213802,0.953419685,39.0766859,0.435210943,0.952560425,0.968578994,0.20611541,89.733499
0.950920522,29.20261944,0.485000342,0.931354165,0.957603872,0.205157876,61.213802,0.986668766,46.49114144,0.701799214,0.986757159,0.991235197,0.111683093,94.408565
0.986121774,39.65537154,0.822128594,0.975507319,0.987828314,0.116699219,86.453482,0.992067695,38.12204607,0.994627237,0.991739273,0.992715895,0.090424962,79.583952
0.986121774,39.65537154,0.822128594,0.975507319,0.987828314,0.116699219,86.453482,0.956798911,27.78136439,0.84987998,0.210061491,0.943332553,0.952044964,47.101418
0.986121774,39.65537154,0.822128594,0.975507319,0.987828314,0.116699219,86.453482,0.978103697,32.01932094,0.923745394,0.974874079,0.978079975,0.148583457,65.223074
0.986121774,39.65537154,0.822128594,0.975507319,0.987828314,0.116699219,86.453482,0.907540679,28.39897229,0.299238741,0.860718787,0.914498329,0.270534486,64.306702
0.986121774,39.65537154,0.822128594,0.975507319,0.987828314,0.116699219,86.453482,1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006
0.986121774,39.65537154,0.822128594,0.975507319,0.987828314,0.116699219,86.453482,0.822313011,22.74958416,0.217637599,0.701022446,0.814956367,0.387773752,24.573013
0.986121774,39.65537154,0.822128594,0.975507319,0.987828314,0.116699219,86.453482,0.977805018,43.65328707,0.568053722,0.974162102,0.984294891,0.148435637,88.496678
0.986121774,39.65537154,0.822128594,0.975507319,0.987828314,0.116699219,86.453482,1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006
0.986121774,39.65537154,0.822128594,0.975507319,0.987828314,0.116699219,86.453482,0.965537608,39.66562581,0.461375833,0.958382905,0.97357589,0.177750811,83.467011
0.986121774,39.65537154,0.822128594,0.975507319,0.987828314,0.116699219,86.453482,0.828087687,28.77987519,0.17119053,0.82249707,0.877513945,0.402596831,73.966064
0.986121774,39.65537154,0.822128594,0.975507319,0.987828314,0.116699219,86.453482,0.953419685,39.0766859,0.435210943,0.952560425,0.968578994,0.20611541,89.733499
0.986121774,39.65537154,0.822128594,0.975507319,0.987828314,0.116699219,86.453482,0.986668766,46.49114144,0.701799214,0.986757159,0.991235197,0.111683093,94.408565
0.992067695,38.12204607,0.994627237,0.991739273,0.992715895,0.090424962,79.583952,0.956798911,27.78136439,0.84987998,0.210061491,0.943332553,0.952044964,47.101418
0.992067695,38.12204607,0.994627237,0.991739273,0.992715895,0.090424962,79.583952,0.978103697,32.01932094,0.923745394,0.974874079,0.978079975,0.148583457,65.223074
0.992067695,38.12204607,0.994627237,0.991739273,0.992715895,0.090424962,79.583952,0.907540679,28.39897229,0.299238741,0.860718787,0.914498329,0.270534486,64.306702
0.992067695,38.12204607,0.994627237,0.991739273,0.992715895,0.090424962,79.583952,1.0,100000.0,0.999999464,0.99999994,1.0,0.0,97.428006
