ms_ssim2_a,psnr_hvs_a,vif_a,iw_ssim_a,fsim_a,nlpd_a,vamf_a,ms_ssim2_b,psnr_hvs_b,vif_b,iw_ssim_b,fsim_b,nlpd_b,vamf_b
1.0,100000.0,0.999998868,1.0,1.0,0.0,97.428146,0.988516629,42.37023947,0.701614797,0.987891197,0.989807546,0.112524189,91.245796
1.0,100000.0,0.999998868,1.0,1.0,0.0,97.428146,0.982043445,39.41812336,0.583990574,0.979780734,0.982191503,0.143835291,87.398714
1.0,100000.0,0.999998868,1.0,1.0,0.0,97.428146,0.963539779,33.10241558,0.42120716,0.95460552,0.957765877,0.205676854,79.30495
1.0,100000.0,0.999998868,1.0,1.0,0.0,97.428146,0.937465727,27.28919046,0.307417989,0.915162444,0.923588991,0.276808798,67.856694
1.0,100000.0,0.999998868,1.0,1.0,0.0,97.428146,0.894149542,22.95949816,0.221091345,0.841426373,0.871522963,0.355466574,48.547826
1.0,100000.0,0.999998868,1.0,1.0,0.0,97.428146,0.986178041,42.63404702,0.613193035,0.984591186,0.988635242,0.141055107,90.002245
1.0,100000.0,0.999998868,1.0,1.0,0.0,97.428146,0.977746904,39.8700859,0.510921896,0.974597692,0.980109215,0.176026776,86.434658
1.0,100000.0,0.999998868,1.0,1.0,0.0,97.428146,0.962981462,35.73105919,0.405853897,0.957553446,0.964408934,0.22076194,79.792493
1.0,100000.0,0.999998868,1.0,1.0,0.0,97.428146,0.935862601,29.69432221,0.294791967,0.924355745,0.932200968,0.293153733,66.039992
1.0,100000.0,0.999998868,1.0,1.0,0.0,97.428146,0.914197266,22.64552002,0.294061005,0.332294762,0.872919798,0.882937312,45.243771
1.0,100000.0,0.999998868,1.0,1.0,0.0,97.428146,0.956643164,28.89061152,0.36714825,0.93700701,0.948215723,0.258620501,63.189792
1.0,100000.0,0.999998868,1.0,1.0,0.0,97.428146,0.964791775,32.79952959,0.466195136,0.948267817,0.961117208,0.221740827,71.161569
1.0,100000.0,0.999998868,1.0,1.0,0.0,97.428146,0.980876505,37.02498889,0.547627389,0.969049811,0.980220973,0.177762076,78.662544
1.0,100000.0,0.999998868,1.0,1.0,0.0,97.428146,0.982608318,37.94889534,0.591667056,0.974842846,0.980845451,0.161384344,82.805986
1.0,100000.0,0.999998868,1.0,1.0,0.0,97.428146,0.906925321,26.58484254,0.241655678,0.892652154,0.904635131,0.347618103,58.941704
0.988516629,42.37023947,0.701614797,0.987891197,0.989807546,0.112524189,91.245796,0.982043445,39.41812336,0.583990574,0.979780734,0.982191503,0.143835291,87.398714
0.988516629,42.37023947,0.701614797,0.987891197,0.989807546,0.112524189,91.245796,0.963539779,33.10241558,0.42120716,0.95460552,0.957765877,0.205676854,79.30495
0.988516629,42.37023947,0.701614797,0.987891197,0.989807546,0.112524189,91.245796,0.937465727,27.28919046,0.307417989,0.915162444,0.923588991,0.276808798,67.856694
0.988516629,42.37023947,0.701614797,0.987891197,0.989807546,0.112524189,91.245796,0.894149542,22.95949816,0.221091345,0.841426373,0.871522963,0.355466574,48.547826
0.988516629,42.37023947,0.701614797,0.987891197,0.989807546,0.112524189,91.245796,0.986178041,42.63404702,0.613193035,0.984591186,0.988635242,0.141055107,90.002245
0.988516629,42.37023947,0.701614797,0.987891197,0.989807546,0.112524189,91.245796,0.977746904,39.8700859,0.510921896,0.974597692,0.980109215,0.176026776,86.434658
0.988516629,42.37023947,0.701614797,0.987891197,0.989807546,0.112524189,91.245796,0.962981462,35.73105919,0.405853897,0.957553446,0.964408934,0.22076194,79.792493
0.988516629,42.37023947,0.701614797,0.987891197,0.989807546,0.112524189,91.245796,0.935862601,29.69432221,0.294791967,0.924355745,0.932200968,0.293153733,66.039992
0.988516629,42.37023947,0.701614797,0.987891197,0.989807546,0.112524189,91.245796,0.914197266,22.64552002,0.294061005,0.332294762,0.872919798,0.882937312,45.243771
0.988516629,42.37023947,0.701614797,0.987891197,0.989807546,0.112524189,91.245796,0.956643164,28.89061152,0.36714825,0.93700701,0.948215723,0.258620501,63.189792
0.988516629,42.37023947,0.701614797,0.987891197,0.989807546,0.112524189,91.245796,0.964791775,32.79952959,0.466195136,0.948267817,0.961117208,0.221740827,71.161569
0.988516629,42.37023947,0.701614797,0.987891197,0.989807546,0.112524189,91.245796,0.980876505,37.02498889,0.547627389,0.969049811,0.980220973,0.177762076,78.662544
0.988516629,42.37023947,0.701614797,0.987891197,0.989807546,0.112524189,91.245796,0.982608318,37.94889534,0.591667056,0.974842846,0.980845451,0.161384344,82.805986
0.988516629,42.37023947,0.701614797,0.987891197,0.989807546,0.112524189,91.245796,0.906925321,26.58484254,0.241655678,0.892652154,0.904635131,0.347618103,58.941704
0.982043445,39.41812336,0.583990574,0.979780734,0.982191503,0.143835291,87.398714,0.963539779,33.10241558,0.42120716,0.95460552,0.957765877,0.205676854,79.30495
0.982043445,39.41812336,0.583990574,0.979780734,0.982191503,0.143835291,87.398714,0.937465727,27.28919046,0.307417989,0.915162444,0.923588991,0.276808798,67.856694
0.982043445,39.41812336,0.583990574,0.979780734,0.982191503,0.143835291,87.398714,0.894149542,22.95949816,0.221091345,0.841426373,0.871522963,0.355466574,48.547826
0.982043445,39.41812336,0.583990574,0.979780734,0.982191503,0.143835291,87.398714,0.986178041,42.63404702,0.613193035,0.984591186,0.988635242,0.141055107,90.002245
